Episode Number,Episode Title,Air Date,Short Summary,Long Summary,Characters,Fruits
Episode 69,Koby-Meppo's Determination! Vice Admiral Garp's Fatherly Pride,20-May-01,"Vice Admiral Garp mentors Koby and Helmeppo to become strong marines. He invites Koby and Helmeppo to join in Marine Headquarters. Koby and Helmeppo decide to train for their dream, which is inspired by their friend Luffy. Koby and Helmeppo train harder in order to become stronger. Garp comes to know about Koby being friends with the captain of the Straw Hats. He inquires about their friendship with a pirate. Garp tells them to prove their strength. Koby and Helmeppo fight Garp, but are not able to defeat him. Garp says that he was testing their mental power. He says to Koby and Helmeppo that they are going to be trained under his supervision.","The episode starts and Usopp is fantasizing and talking to himself about how everyone in Little Garden will welcome him. Then Zoro (who is at the lowest deck) grabs an apple from a barrel full of them, takes a bite of it and asks Usopp if he is an idiot. Usopp responds to Zoro by yelling that he could hear what Zoro just said while kicking the bottom part of wooden where he is seated. Nami yells at both of them to keep quiet and apologizes to Vivi. Vivi keeps explaining to Nami why there are no islands, but it is easy to hit reefs due to elevated corals (presumably on the Grand Line). While they are speaking the scene goes to Sanji who is cooking, and suddenly, Usopp shows up through the window on the kitchen and smiles (probably due to Sanji's food). Sanji makes the girls know that the desert is ready and when he is serving it Usopp shows in between Nami and Vivi. Sanji, in a mad way, lets Usopp know that his food is ""over there"". Later, Sanji asks the girls where Luffy is and Nami replies she asked Luffy to draw water for her because she wants to take a shower. She then says Luffy must be at the water-drawing machine. Sanji comments no wonder he has been quiet all that time. Immediately after, a loud noise comes from a room and Luffy having come out of it. Luffy then adds that he was just using the machine when it suddenly broke and Nami punches him in the head. After that, everyone except Usopp is seated around a table and while Nami is reading the newspaper, Luffy sees an image where Koby appears and asks Nami to tell him what does the article says.
Koby and Helmeppo are amused by the amount of work the marines seem to do in the Marine Headquarters. Then, both of them are hiding in an alley and Helmeppo talks about giving up because the work there seems so hard for him to keep up with. Koby tries to encourage him to persevere because Helmeppo said to his father that he will surpass him no matter what. When he talks about why they should not run away, Vice Admiral Garp shows up behind them. Suddenly, they both are afraid of what Garp will do to them. Koby tries to justify his saying by clarifying him and Helmeppo will do anything that Garp orders, and that they are prepared to die.
The scene goes then to the ""Sea food"" restaurant where Rika and Ririka are talking to the marines in charge of Shells Town. Rika lifts up a bank, bring it close to a marine (presumably the one in charge) and starts hitting him in the head with his two fists. She complains about how she would have liked to spent more time with them. She also adds that she was learning to cook in order to prepare them a tasty lunch sometime. You can see her face crying before you can watch two sprouts in flowerpots (presumably as an analogy with how much room for growth Koby and Helmeppo have, since they have joined the Marine HQ).
Then, the scene goes to Koby and Helmeppo washing the floor as Helmeppo complains about how doing chores will make him a marine. It is also notable that Garp is watching over them, so they wash faster. As when the night has set, you hear Koby and Helmeppo's chat. Helmeppo comments how Vice-Admiral Garp was called ""Garp the Fist"" and was quite feared by everyone. He then talks about how if he wants to become stronger, faster, he has to build his body over the nights. Koby disagrees with this idea, since it is likely to overwork the body because of the need to sleep. Helmeppo does not seem to listen and since he is already going downstairs, Koby joins him too. It looks like they have been training hard for a long time. One day they are talking about Luffy and Garp listens to them. Garp takes them to beach to test their mentality and they pass his test. Garp gives them a special training and they appear to be following it. The scene goes back to the Straw Hat Pirates and everybody is asleep except for Nami. Nami watches Vivi as she sleeps and stores the newspaper in a drawer. Luffy gives the order to set sail to Little Garden while asleep and the boys of the crew agree with him, also while asleep.","Usopp, Karoo, Roronoa Zoro, Nami, Nefertari Vivi, Sanji, Monkey D. Luffy, News Coo, Koby, Helmeppo, Monkey D. Garp, Bogard, Rika, Ririka",
Episode 70,An Ancient Island! The Shadow Lurking in Little Garden!,27-May-01,"As the Straw Hat Pirates sail toward Little Garden, the Baroque Works officer agents Mr. 3 and his partner Miss Goldenweek receive new orders. Finally arriving there, the Straw Hats find the island to be populated by prehistoric animals. Frightened, Nami and Usopp stay behind on the ship as the others spread out to search the island for food and adventure. Nami remembers having read about the island in a book, but by the time she remembers it, a giant approaches through the forest.","Luffy asks if it will to snow again and Zoro responds there is no way it would. Luffy says to Zoro that it does snow, but he did not notice it last time because he was asleep. Luffy asks Vivi if she think it will snow and she answers that the first sea that they were at was special, since the magnetic forces mess everything up. She also warns the crew never to underestimate the Grand Line sea as an ironclad rule. Vivi gets mad about how everyone is acting, not taking anything seriously enough. Sanji leaves out the kitchen, having prepared 9 drinks for the crew. Nami assures her that when things get rough, they know how to handle it. Vivi realizes she is right when a colossal dolphin attacks them, making everyone rush to their stations to outrun the gigantic threat. After that, the crew see the mysterious Little Garden island shrouded in fog as everyone gets excited to encounter their second island in their trip on the Grand Line.
The scene goes to Mr. 3 and Miss Goldenweek, who are seen on Kyuka Island. While Mr. 3 is preparing himself an Earl Grey tea they discuss the downfall of Mr. 5 and Miss Valentine. Mr. 3 talks to Miss Goldenweek on how Mr. 5 is just ""an idiot with devil fruit powers"" who was overconfident in his position. He then states that they will teach whoever defeated Mr. 5 the terror of making a criminal organization their enemy.
Returning to the crew, they remember what Miss All Sunday said about the island, stating that they will all be dead before they reach Arabasta. The crew gets restless as they see more of the island, but keeps on going due to lack of food and materials. As they enter the island, Sanji gets attacked by a gigantic bird signalling that this island is not normal at all. To reassure that notion, a huge tiger prowls beside the boat and then keels over with blood.
Luffy them demands to visit the island, and Vivi comes with him because she does not want to dwell in her problems. So Luffy, Vivi and Karoo depart after Sanji has made a pirate lunch for the three of them. Zoro decides to take a walk, and Sanji asks him to get some edible-looking animals to bring back. Zoro makes a smart remark and challenges Sanji to see if he can get a bigger animal than him. Sanji furious with this, embarks onto the island to get more kilos than Zoro, and Zoro responds by saying they will compete for tons.
Creeped out by the noises, Nami realizes that she remembers something about Little Island in a book and starts searching for it. Luffy and Vivi find a shellfish that looks like a squid, just as the sound of giant footsteps are coming from behind. As the time being, Sanji nearly gets eaten by a T. rex. Zoro encounters a Triceratops and wonders if it is edible. Luffy and Vivi also find a dinosaur, but this one is a Brachiosaurus. Vivi then realizes what is happening on the island, saying due to the Grand Line being so dangerous nothing has been able to migrate from the island, preserving the unique ecosystem Little Garden has.
Nami tells Usopp about what inhabits the island, just as a giant mysterious figure is seen inside the jungle.","Monkey D. Luffy, Roronoa Zoro, Nefertari Vivi, Sanji, Karoo, Usopp, Nami, Mr. 3, Miss Goldenweek, Samurai Batts, Pandaman, Miss All Sunday (flashback), Bronte Zaurus, Brogy (silhouette)",
Episode 71,Humongous Battle! The Giants Dorry and Brogy!,3-Jun-01,"Nami and Usopp meet a giant named Brogy while Luffy and Vivi encounter Brogy's rival, Dorry.","As Nami and Usopp see someone gigantic approximating the Going Merry through breaking trees across the forest, they start crying. A giant comes out and asks Nami and Usopp for alcohol. Nami respond that the only alcohol they have is for cooking and disinfection. The giant screams in pain because he just got bitten by a T. rex from the back. He chops the T. rex head and introduces himself as Brogy, claiming to be the strongest warrior of Elbaf. He also calls Nami and Usopp as guests but, frightened, the two play dead.
Elsewhere, Luffy and Vivi are exploring. Luffy comments the view on top of the Brachiosaurus and says he wants to have lunch in there. Luffy then starts to play along the necks of the Brachiosaurus and gets eaten by one of them. A giant slashes the neck of the dinosaur and catches Luffy with his hand and tells him he has been watching him. The giant introduces himself as Dorry, Elbaf's strongest warrior. Luffy introduces himself, Vivi, and Karoo before Dorry invites them to his home.
Brogy takes Usopp and Nami to his place, where he is roasting dinosaur meat to treat them as his guests. They, however, fearing to be eaten themselves, try to escape through the jungle. Either way, after being chased by larger and larger predators, they end up back at Brogy's feet.
Back to Dorry, he tells Luffy, Karoo, and Vivi that he is engaged in a duel that has lasted one hundred years. Whenever the island's central volcano erupts, the two face each other in combat.
Meanwhile in the jungle, Mr. 5 and Miss Valentine join forces with Mr. 3 and Miss Goldenweek, who plot to earn the giants' huge bounties.","Brogy, Usopp, Nami, Monkey D. Luffy, Karoo, Nefertari Vivi, Bronte Zaurus, Dorry, Sanji, Roronoa Zoro, Mr. 5, Miss Valentine, Mr. 3, Miss Goldenweek",
Episode 72,Luffy's Anger! A Dirty Trick in a Sacred Battle,17-Jun-01,"Dorry, injured by the alcohol that exploded inside him, blames the Straw Hat Pirates. Luffy states that none of his crewmates nor Brogy did it, and he is enraged that someone would pull such a dirty trick to sabotage the giants' honorable duel.","Usopp, who is immensely impressed with the giants' fight, decides to strive to be like them and starts calling Brogy, Master. After their fight, which, like thousands before it, ends in a draw, Dorry receives two barrels of alcohol from Brogy, which he obtained from Nami and Usopp. When Dorry later drinks it and it badly injures him from within, he accuses the Straw Hats. Left with no choice, Luffy fights the weakened giant and knocks him out. Unbeknownst to the crew and giants, the contents of one of the barrels has been rigged to explode. However, by the time of the next eruption of the center volcano, Dorry gets back up and heads into battle, knowing his chances to be low.","Brogy, Dorry, Monkey D. Luffy, Nefertari Vivi, Karoo, Usopp, Nami, Miss Valentine, Mr. 5, Roronoa Zoro, Sanji, Mr. 3, Miss Goldenweek",
Episode 73,Brogy Wails in Victory! Elbaf's Judgement,24-Jun-01,Luffy tries in vain to convince the injured Dorry not to fight Brogy. The Officer Agents who sabotaged the alcohol further tamper with the giants' duel.,"Ignoring the fact that he's badly injured, Dorry puts a gigantic rock on top of Luffy to prevent him to interfere in his fight with Brogy. Then, the two giants meet and start to fight once again.
Zoro finds Nami in the middle of the forest, but he suspects that it's not all right; Nami finds Luffy but she's immediately attacked. Usopp, left alone in the forest, screams in panic and runs until he reaches Vivi and Luffy. Vivi suspects that Baroque Works is responsible for the disapparitions and for the sneak attack with the barrel.
Mr. 3 in fact has planned to make Brogy defeat Dorry and some minutes later it really happens. Brogy, not knowing the help received, bursts in tears, but Mr. 3 immediately blocks his legs with a strange substance. Mr. 5 and Miss Valentine reach Dorry's base bringing Karoo with them: they found him and hit him repeatedly. The two Officer Agents quickly defeat Usopp and Vivi.","Nami, Usopp, Brogy, Dorry, Monkey D. Luffy, Nefertari Vivi, Karoo, Miss Valentine, Mr. 5, Roronoa Zoro, Mr. 3, Miss Goldenweek",
Episode 74,The Devil's Candle! Tears of Regret and Tears of Anger,15-Jul-01,"Having subdued the giants, Baroque Works makes their move. Mr. 3 introduces Zoro, Nami, Vivi, and Brogy to the slow torture of becoming living statues of wax.","After explosively beating down on the still trapped Luffy, Mr. 5 and his partner take Vivi to the giants' duel site, where Mr. 3 is busy further restraining Brogy with his wax. After that, Mr. 3 creates a large, cake-shaped pedestal upon which Vivi, Nami, and Zoro are placed. On top of the pedestal, he creates a rotating platform upon which he places several large candles, which spray wax over his prisoners, slowly turning them into wax figures. Then he explains to Brogy how he manipulated their duel, causing the giant to burst out in anger and break his restraints. However, before he can completely free himself, Mr. 5 knocks the giant out with several explosions and Mr. 3 renews the restraints. Meanwhile, Karoo digs Luffy out from under the rock. The bird, Luffy, and Usopp arrive at the scene just as Zoro attempts to free himself by cutting off his legs.","Brogy, Mr. 3, Dorry, Miss Goldenweek, Nefertari Vivi, Miss Valentine, Karoo, Usopp, Monkey D. Luffy, Mr. 5, Nami, Roronoa Zoro, Igaram (flashback)",
Episode 75,Luffy Attacked by Magic! Colors Trap,12-Aug-01,"Luffy attempts to rescue his friends but only accelerates the deadly waxing process. To make matters worse, Miss Goldenweek interferes and reveals her own terrifying ability to hypnotize people, using Colors Trap.","Mr. 3 decides to fight Luffy, because he suspects that Mr. 5 and Miss Valentine are not strong enough. So he orders them to defeat Usopp and Karoo.
Mr. 3 blocks Luffy's feet with his wax, but the young pirate uses it to destroy a portion of the construction that is killing Zoro, Nami and Vivi. While doing this, the wax around his feet breaks, but the transformation of his friends in statues accelerates. Luffy tries again to destroy the Giant Candle Service Set, but Mr. 3 defends his creation with some Candle Walls. Even Usopp tries to destroy the Giant Candle Service Set with an exploding star, but it is eaten by Mr. 5 without any problems.
Luffy defeats Mr. 3 and so he can free his friends, but he decides not to do it. Miss Goldenweek in fact has used her ability, Colors Trap, to hypnotize him. Luffy is standing on a paint which orders people to betray friends. Vivi uses a trick to make him go outside the symbol, but Miss Goldenweek draws another symbol on his back and Luffy starts to laugh. Usopp and Karoo, running away from their pursuers, hit Luffy and partially delete the symbol. Luffy is now free from the hypnosis, but is immediately victim of another one that blocks him from saving his friends.
Usopp runs away from Mr. 5 and Miss Valentine and comes back to Luffy, but it seems that it is too late for Zoro, Nami, and Vivi.","Monkey D. Luffy, Mr. 3, Usopp, Karoo, Mr. 5, Miss Valentine, Miss Goldenweek, Roronoa Zoro, Nami, Nefertari Vivi, Brogy",
Episode 76,Critical Counterattack! Usopp's Quick Wit and Kaenboshi!,19-Aug-01,"Usopp frees Luffy from Miss Goldenweek's control. With Karoo's help and his plan, Usopp helps Luffy rescue the others, who take on Mr. 5 and Miss Valentine. Nami and Vivi are able to fight Miss Valentine, while Usopp and Zoro take on Mr. 5. Luffy and Karoo pursue Mr. 3 and Miss Goldenweek into the forest, where Mr. 3 attempts to trap them with one of his tricks. Meanwhile, Sanji wanders around the island in search of the others, only to stumble across a Candle House in the middle of nowhere.","Once back at the pedestal, Usopp finds Luffy drinking tea with Miss Goldenweek, while their friends are already completely covered in wax and their time is running out. He burns Luffy's shirt, upon which Miss Goldenweek had painted, using a flaming projectile. Luffy, again himself, attempts to destroy the pedestal but is interrupted by the returning Mr. 3, who creates himself a Candle Champion. Usopp is finally struck down by Mr. 5's explosive shots, but is still able to make Karoo run around the pedestal dragging behind it a rope, which Usopp soaks in flammable oil just as Miss Valentine begins to crush him with the intent doing it fatally. Luffy then grabs Mr. 3 at his burning, three-shaped hairdo and uses it to inflame the rope, burning the large wax structure and freeing the others. As they emerge from the flames, Miss Valentine's wicked smile turns to horror when she sees Nami and Vivi freed and is defeated and Zoro makes quick work of Mr. 5. Luffy and Karoo chase after Mr. 3 and his partner and defeat them, respectively. Meanwhile, Sanji stumbles upon a Candle House, which is Mr. 3's hideout. Suddenly, in the house, Sanji receives a call via a Den Den Mushi from Mr. 0.","Usopp, Mr. 5, Karoo, Monkey D. Luffy, Miss Goldenweek, Miss Valentine, Sanji, Nami, Roronoa Zoro, Nefertari Vivi, Brogy, Mr. 3, Dorry, Mr. 0/Crocodile (unclearly seen)",
Episode 77,Farewell to the Giants' Island! On to Arabasta!,19-Aug-01,"After having a chat with Mr. 0 and encountering the Unluckies, Sanji retrieves an Eternal Pose for Arabasta. The giants are alive and well, and their friendship secure as the Straw Hats are about to leave Little Garden. The crew leaves Little Garden and sets sail for Arabasta, with a little help from their giant friends in escaping the island's strange guardian, a large fish.","Once Sanji realizes that he is talking to Mr. 0, he pretends being Mr. 3 and convinces the Warlord that he has eliminated Vivi and her Straw Hats escort. During the conversation, Crocodile's messengers, the otter, and its partner, the vulture, called the Unluckies, arrive to deliver an Eternal Pose, leading to Arabasta, to Mr. 3. They attack Sanji, but he kills them. To justify the noisy interruption, Sanji tells Mr. 0 that one of the Straw Hats was still alive. Crocodile tells him to return to Arabasta and after the conversation, he orders Miss All-Sunday to order Mr. 2 to intercept and eliminate Mr. 3 en route. While Brogy mourns the apparent death of Dorry, creating a rainfall of tears, Dorry suddenly wakes up, much to the shock of everyone. Dorry concludes that, after a hundred years, Brogy's axe had gotten dull and only blacked him out. Using the Eternal Pose to guide them, the crew sets sail. Dorry and Brogy see them off, and, to thank them, they use their worn out weapons to kill the Island Eater as it attempts to feed on the Going Merry.","Brogy, Nami, Roronoa Zoro, Usopp, Karoo, Monkey D. Luffy, Nefertari Vivi, Dorry, Sanji, Mr. 0/Crocodile (unclearly seen), Mr. 13, Miss Friday, Miss All Sunday, Island Eater",
Episode 78,Nami is Sick? Beyond the Snow that Falls on the Ocean!,26-Aug-01,"Nami is sick, but the crew does not have a doctor to help her. She collapses on deck and the others are worried for her health when Vivi explains how serious her condition is. Meanwhile, Mr. 2 is dispatched to Little Garden to clean up the mess left by Mr. 3 and the others.","After killing the Island Eater with Hakoku, the weapons of the two giants break and they try to remember why they were dueling for about 100 years ago until their signal for battle activates. It is revealed they were captains of a crew of giants who battled anyone who opposed them. After they each killed a sea king, a little girl asked which one was bigger. This caused the two to head to Little Garden and compare sizes, and they remained on the island and dueled to decide which was bigger ever since. Back to the Going Merry, Usopp starts talking about how he would like to go to Elbaf someday and Luffy agrees to that, so they dance while singing until they almost fall overboard. Meanwhile Nami starts to feel tired and asks Vivi to watch the Eternal Pose leading to the Arabasta Kingdom for her. Vivi then remember how she must not die if she wants to save her kingdom. Sanji gets out of the kitchen telling Vivi to not push herself too hard, as she has him, he then offers Vivi and Nami some appetizers and asks for their beverage of choice. Luffy, Usopp and Karoo's mouth are watering and Sanji (in a mad way) tell them that theirs are in the kitchen. Zoro is seen in the back of the Merry doing half-ton weights and saying to himself that he is weak, as he could not save everyone of the Tokudai Candle Service Set.
On Sandy Island, an alarm sounds to let Mr. 2 Bon Kurei know that his crew is ready to depart. Back to the Merry, Nami's condition gets worse when she suddenly faints after telling Vivi she was going to lay down. After talking with Vivi, Sanji, Karoo, Usopp and Luffy, Nami gets out of the room pretending her condition to be okay. Nami asks Zoro why he did not watch the Pose and advert her of the change in the course. She predicts that an atypical wind will catch in their way if they keep going straight. Zoro orders the crew to change direction and the pirates save themselves of a cyclone. While it's snowing, Nami is in bed and Vivi is taking care of her as Sanji and Karoo freak out. Zoro sees a man standing in the sea and lets Luffy and Usopp know.","Brogy, Dorry, Monkey D. Luffy, Nami, Sanji, Nefertari Vivi, Karoo, Roronoa Zoro, Usopp, Giant Warrior Pirates (flashback), Yuki (flashback), Igaram (flashback), Mr. 2 Bon Kurei (unclearly seen), Akumai, Crocodile (during Vivi's thought), Chess",
Episode 79,Ambush! The Bliking and Wapol the Blik,2-Sep-01,"While looking for a doctor, the crew meet Wapol, who threatens them and results into Luffy sending him flying. The crew then arrives to Drum Island, only to find out they are not welcome.","Vivi is watching over Nami with the presence of Sanji and Karoo. Zoro sights a man standing on the water and lets know Luffy and Usopp. The Bliking emerges from the water and the Bliking Pirates board the Going Merry, surrounding Luffy, Zoro, Usopp, and then Sanji when he comes out. Wapol is seen eating a meat stick (but instead of a stick, he uses a sword). He also eats the sword and the crew is surprised. A member of the Bliking Pirates reveals Wapol ate the Baku Baku no Mi so he can eat everything. Luffy gets mad about the fact that Wapol starts eating his ship and starts to fight. The crew backs him up (except for Usopp) and the pirates retreat after Luffy sends his captain flying with a Gomu Gomu no Rocket. As the Bliking Pirates retreat, someone keeps yelling at them to remember them.
A flashback of a Marine ship several days ago is seen. A subordinate informs Captain Smoker about a signal being intercepted. Smoker calls Tashigi and they listen to parts of the conversation between Mr. 0 and Sanji. Smoker and Tashigi discuss and plan to go to Arabasta.
In the Merry, Luffy tries to cheer Nami up, but fails. The crew drops anchor for the night, as they cannot navigate without Nami's instructions during the night. Everybody is asleep in the room where Nami is when she suddenly wakes up and sees almost everyone and smiles, she then lays down again. At the same time, Sanji is on the top of the ship, making guard. In the morning, Usopp starts hammering and Sanji wakes up. Vivi explains that the climate may be cold because an island is nearby. She then proceeds to explain the Island Climatic Types. Sanji spots an island and notifies the crew. When they finally arrive to Drum Island, the people of the town is threatening them. Dalton orders the crew to raise their anchor and leave the island, but a villager shoots to Sanji and misses. Sanji is going to fight back but Vivi interposes and she gets shot.","Nami, Nefertari Vivi, Sanji, Monkey D. Luffy, Usopp, Roronoa Zoro, Chess, Wapol, Karoo, Kuromarimo, Smoker, Tashigi, Mr. 11, Dalton",Baku Baku no Mi
Episode 80,A Doctorless Island? Adventure in the Country Without a Name!,9-Sep-01,"The Straw Hat Pirates manage to gain the trust of the people that attacked them, and are taken to the village, except for Zoro and Karoo, who guard the ship. Luffy and Sanji must take Nami to the island's sole doctor who lives on a mountain-top. Vivi and Usopp discover from Dalton, the past of the island and about the pirate Wapol.","After Vivi has been shot by a villager on Drum Island, Luffy enrages and prepares to attack the inhabitants. Vivi quickly hugs Luffy and tells him he is not qualified to be a captain because not everything need to be resolved with fighting. Karoo is watching over Nami. Luffy calms down and apologies to the people on the island. Dalton empathizes with the crew and orders them to follow him. Vivi smiles to Luffy because the people understood and Luffy compliments her.
Usopp, Vivi, Sanji (carrying Nami), and Luffy are following Dalton and the inhabitants of the island when they encounter a hiking bear and Usopp tells everyone to play dead. Everyone in there simply passes along the hiking bear after bowing. In the Going Merry, Zoro comments how his legs are fully healed now. Later, he is seen without a shirt talking about training while Karoo is amazed.
Dalton introduces Bighorn to the visitors and tells to everyone that whoever is not a guard can return to his house. Negikuma Maria asks how things went after she heard there were pirates. Dalton invites the visitors to his house and tells them to use a bed, after that, Nami is seen laying on it while Vivi covers her. Dalton introduces himself as the captain of the security squad of the island. He feels like he has seen Vivi before, but Vivi (nervously) answers by telling him is probably just his imagination. She changes topic by asking him to tell them more about the witch, since Nami's temperature is around 42 °C. Dalton talks to the visitors about the Drum Rockies and how on the top of the tallest mountain is the Drum Castle, where there is no longer a king, but is where Kureha lives. Luffy decides to wake up Nami because he is going to climb the mountain while carrying her. After hearing him, Nami agrees with the idea.
After Sanji decides he is coming too and everything is set, Dalton advice the two to climb the mountain by the ""other"" side because there are lapahns in the main course. After Luffy and Sanji have departed, Usopp and Vivi watch them leaving and stay outside. Dalton, after seeing their concern, decides to join them. He then talks about the country and how they were known as an advance medical nation because the skilled doctors that inhabited in there. It turns out that the country was attacked by 5 pirates months ago. The captain of the crew called himself ""Blackbeard"". Some people thought that the country being destroyed was better for its sake, as it contributed to the destruction of the Drum Kingdom and his king, Wapol. Luffy and Sanji are seeing running through the slope of the mountain while they are chatting, but a lapahn keeps attacking them because they keep dodging his attacks. Sanji gets annoyed at this and kicks him, sending him flying.
Sanji and Luffy encounter a big herd of lapahns. Dalton keeps talking about the past situation of the kingdom. The Bliking is seen and Chess is on top while he sights Drum Island and notifies the captain of the Bliking Pirates.","Nefertari Vivi, Monkey D. Luffy, Roronoa Zoro, Usopp, Sanji, Karoo, Nami, Dalton, Negikuma Maria, Kureha, Blackbeard Pirates (flashback and shadowed), Wapol, Chess",
Episode 81,Are you Happy? The Doctor who is Called a Witch!,16-Sep-01,"While Sanji and Luffy struggle to survive in the wilderness, the islander's worst nightmare turns true as Wapol returns to the island. The doctor is discovered to be on the other side of the island, and Usopp, Vivi, and Dalton rush to find her. Dalton however, returns as he hears of Wapol's return.","Sanji and Luffy encounter a herd of lapahns. While under attack, Sanji tells Luffy not to attack nor be struck by the animals, as Nami would receive the impact too. Sanji uses Flanchet Shoot on a lapahn.
At a town, Kureha treats a sick boy by doing a little operation and giving him antibiotics. She then charges a fee of food, beverages, trash bags, and 50% of the restaurant's assets. After the boy awakens and gives her his thanks, she decides to make a 1% discount on the fee.
Zoro is outside the ship, training his body to resist the cold while Karoo is watching covered in a blanket. Zoro invites Karoo to join him, but he refuses by shaking his head with his eyes closed. After he opens them again, he does not see Zoro and thinks he must have drowned in the river. Karoo nervously jumps off the ship to save him, while Zoro comes out of the water, commenting how nice the dive was. Back in the wilderness surrounding the Drum Rockies, Sanji and Luffy are hindered by the persistence of the rabbits. On their way to Cocoa Weed, Dalton talks about the former king, and how he was a subordinate of his reign and how Wapol formed the Isshi-20 while restricting the access to doctors for the country. After seeing Vivi's anger just afterwards, Dalton seems to come to the conclusion that Vivi is indeed a princess that he has seen before.
Zoro got lost and while wandering in the woods, he encounters Kureha and Chopper. He asks if she can give him a ride to the next village, but Kureha kicks him in the face for calling her old and leaves. Zoro then decides to train his muscles in order to get warmer. At the coast of Drum Island, the Bliking Pirates arrive. As Kuromarimo holds a citizen captive, they have beaten the watchmen. Wapol is then seen riding on Robson. After Chess informs the status of the Drum Castle, Wapol's crew begins to mobilize, but they then changes course, as the Going Merry is spotted. Usopp and the others are speaking to some people in Cocoa Weed and someone says that the doctor went to Gyasta. A badly injured watchmen informs of the arrival of Wapol to Dalton. Luffy and Sanji find themselves in the middle of an avalanche caused by the lapahns.","Sanji, Monkey D. Luffy, Nami, Usopp, Nefertari Vivi, Dalton, Negikuma Maria, Tamachibi, Kureha, Tony Tony Chopper, Roronoa Zoro, Karoo, Wapol, Chess, Kuromarimo, Robson",
Episode 82,Dalton's Resolve! Wapol's Forces Land,7-Oct-01,"Dalton faces Wapol, but only gets himself hit by arrows thrown by his former comrade, Chess. An avalanche stops the battle, but injures Sanji. Luffy must carry both Nami and Sanji to the doctor, and begins climbing the mountain.","Luffy (while carrying Nami) and Sanji are trying to escape from the avalanche. While they are running, Sanji spots a cliff and tells Luffy that they need to get to a high place. Both made it to the cliff but the avalanche reaches them anyway. In different towns surrounding the Drum Rockies, some people prepare for the upcoming arrival of Wapol, as they follow Dalton to Bighorn. Vivi and Usopp are riding a sled trying to get to Gyasta, but they miss the sign. In Bighorn, Wapol is eating buildings while being accompanied by his Bliking Pirates. Kuromarimo informs Wapol that the Straw Hats are searching for a doctor because one of their crew is sick, and that Kureha has been living in the Drum Castle while he was absent. Dalton arrives to Bighorn, jumps, and slashes Wapol's chest. Wapol is quickly operated on by the Isshi-20 and stands up again. After failing to convince Wapol to leave the country, Dalton transforms into a bison-human hybrid. Two persons in Wapol's crew comment and complement each other the Ushi Ushi no Mi, Model: Bison.","Monkey D. Luffy, Sanji, Nami, Dalton, Nefertari Vivi, Usopp, Wapol, Robson, Kuromarimo, Chess, Isshi-20, Roronoa Zoro",Ushi Ushi no Mi Model: Bison
Episode 83,Island that Lives in Snow! Ascend The Drum Rockies!,7-Oct-01,"A lapahn helps Luffy escape from Wapol, giving him enough time to climb to the castle where doctor Kureha lives. Vivi, Usopp, and Zoro deal with the king's army in order to save Dalton. The recovering Nami meets Chopper.","Luffy continues his journey to where the mountain is, but he is intercepted by Wapol and his men. He decides to ignore the king but is attacked by his two subordinates. The lapahn he saved before and its group come to the rescue when they try to attack Luffy. They held back Wapol so Luffy could get away. Once he reaches the mountain, Luffy starts climbing it.
Vivi rescues Usopp after both were swallowed by the avalanche. They start walking until they encounter Zoro, who was buried in snow.
In the mountains, all the lapahns have been defeated by Wapol and his two followers.
Zoro, Vivi, and Usopp arrive at Bighorn and they see a commotion. Zoro identifies the soldiers that are preventing the citizens from unearthing Dalton as the pirates that attacked them before. He then attacks one of the soldiers and takes his coat and shoes, noting how warm the coat is. The soldiers try to take down Zoro, but he defeats them all after stealing three of their swords. After that, one villager thanks Zoro and everyone starts digging in the snow to search for Dalton. Usopp decides to help them too.
After immense struggling, Luffy finally arrives at the top on the mountain, where Chopper helps him. Inside the Drum Castle, Kureha and Chopper tend to the weakened guests. Chopper figures out that Nami's sickness must be due to the bite of a kestia, being confirmed by Kureha.
Inside a room, Nami finally awakens and meets Chopper, who is scared of her.","Monkey D. Luffy, Sanji, Nami, Chess, Robson, Wapol, Kuromarimo, Nefertari Vivi, Usopp, Roronoa Zoro, Tony Tony Chopper, Kureha",
